data,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
2017-01-01 00:00:00,619.9329,599.9176,0.0,25.936,25.426,81.828,78.974,1601.449,22.16899,22.0057,25.66374,80.65533,0.8647915,4.448471,0.0162521
2017-01-01 01:00:00,620.2747,599.7497,0.0,25.447,25.094,84.541,81.796,1566.53,22.36811,22.07685,25.24476,83.31339,0.746875,4.351471,0.01272065
2017-01-01 02:00:00,620.2747,599.9298,0.0,25.134,24.854,87.039,84.51,1579.481,22.60459,22.32089,24.98343,85.95296,1.13382,4.387447,0.01447337
2017-01-01 03:00:00,620.3174,599.765,0.0,24.896,24.695,88.586,87.012,1553.649,22.76375,22.53646,24.76787,87.88836,0.553125,4.315691,0.007902654
2017-01-01 04:00:00,620.293,599.7802,0.0,24.844,24.654,89.21,88.355,1517.515,22.82641,22.7223,24.74609,88.73738,0.2428472,4.21532,0.004605023
2017-01-01 05:00:00,620.2991,599.7955,0.0,24.674,24.334,90.535,89.121,1486.266,22.78951,22.63815,24.4899,89.74279,0.01354167,4.128515,0.002168928
2017-01-01 06:00:00,620.2869,599.7497,0.0,24.353,23.802,92.13,90.504,1448.603,22.74092,22.36495,24.11663,91.13995,0.0,4.023897,0.001981305
2017-01-01 07:00:00,620.2961,599.7497,0.0,24.876,23.712,92.695,90.724,1503.209,23.29095,22.3929,24.03619,92.18169,0.0,4.175581,0.003670103
2017-01-01 08:00:00,620.29,599.7802,0.0,27.368,24.815,90.658,70.844,1858.279,23.24808,21.26592,25.78007,80.70208,0.0,5.161886,0.004540349
2017-01-01 09:00:00,620.2808,599.7955,0.0,29.65,27.358,70.968,60.374,2770.556,21.91483,20.70299,28.54943,65.05806,0.9090971,7.695989,0.03959419
2017-01-01 10:00:00,620.3236,599.7344,0.0,31.439,28.329,64.226,52.259,3346.515,21.72738,20.24809,30.26525,57.86586,1.29993,9.295874,0.0654536
2017-01-01 11:00:00,620.0336,599.7955,0.0,32.718,29.99,58.126,46.554,3209.802,21.49462,19.72894,31.46383,52.02142,1.514028,8.916116,0.0848995
2017-01-01 12:00:00,620.0947,599.7497,0.0,34.115,31.678,50.181,42.736,3546.446,20.96215,18.97874,32.7855,46.29789,1.924514,9.851239,0.1188307
2017-01-01 13:00:00,620.1069,599.7802,0.0,35.951,32.546,47.81,38.546,3909.085,20.84483,18.86613,34.18711,42.52356,1.625693,10.85857,0.1128492
2017-01-01 14:00:00,601.0226,599.7955,0.0,36.34,33.427,43.26,36.267,3686.608,20.46935,18.27907,35.10232,39.31945,1.828611,10.24058,0.1325865
2017-01-01 15:00:00,600.9463,599.7863,0.0,37.408,34.537,40.701,33.077,2969.873,20.64314,17.76282,35.91277,36.69995,1.764375,8.249646,0.1338068
2017-01-01 16:00:00,600.9799,599.8748,0.0,37.039,35.173,37.334,31.995,2620.393,19.25284,17.59581,36.32359,34.21231,1.950416,7.27887,0.1517517
2017-01-01 17:00:00,619.9725,599.881,0.0,36.81,34.806,36.442,32.668,1638.725,18.22522,17.45257,36.08515,34.08376,1.460694,4.552013,0.1151256
2017-01-01 18:00:00,619.9634,599.7619,0.0,35.013,34.246,36.973,35.449,1620.558,17.76307,17.29365,34.66392,36.17695,1.094583,4.50155,0.08426566
2017-01-01 19:00:00,620.4426,599.829,0.0,34.236,32.367,48.222,36.615,1616.367,20.089,17.24842,33.44591,41.18345,1.269861,4.489907,0.0735288
2017-01-01 20:00:00,619.9939,599.8718,0.0,32.378,30.84,52.785,48.153,1616.49,20.52451,19.99493,31.62802,50.84385,1.979653,4.490249,0.08240689
2017-01-01 21:00:00,620.0702,599.8412,0.0,30.84,28.84,63.287,52.816,1610.985,21.19894,20.09553,29.84472,57.64674,1.790279,4.474958,0.06347546
2017-01-01 22:00:00,620.3358,599.7497,0.0,28.82,27.348,71.527,63.284,1618.616,21.78833,21.15921,28.07267,67.35755,1.927778,4.496155,0.04946938
2017-01-01 23:00:00,620.3602,599.8168,0.0,27.348,26.476,76.388,71.558,1603.76,22.10069,21.75725,26.87893,74.59427,1.286528,4.454889,0.02853834
2017-01-02 00:00:00,619.9084,599.8871,0.0,26.507,25.756,82.156,76.386,1580.097,22.51226,21.9925,26.14499,78.97049,0.6696528,4.389158,0.0146791
